FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE
참깨국수,대구광역시광역시 수성구 무학로31길 55,27,27290,128.6265725,35.83301807,대구,참깨콩국수,7000,2021-12-31
산호찜갈비,대구광역시광역시 중구 동덕로36길 9-9,27,27110,128.6048718,35.8708757,대구,찜갈비,16000,2021-12-31
형제돌구이식당,대전광역시광역시 유성구 계룡로52번길 14,30,30200,127.3363797,36.35446271,대전,냉동삼겹살,12000,2021-12-31
풍년오리박사,부산광역시 금정구 청룡로 40,26,26410,129.0882583,35.27590529,부산,유황 오리 불고기(700g),39000,2021-12-31
온천입구기장곰장어,부산광역시 동래구 시실로 20,26,26260,129.0859914,35.21690678,부산,갯장어소금구이  양념구이  통구이 대,30000,2021-12-31
88완당집,부산광역시 해운대구광역시 반송로924번길 3-1,26,26350,129.1548166,35.23253503,부산,완당,5500,2021-12-31
일송면옥,부산광역시광역시 금정구 부곡로141번길 6,26,26410,129.0918194,35.22870534,부산,밀면(물 / 비빔),6000,2021-12-31
창녕집,부산광역시광역시 금정구 산성로 520,26,26410,129.0552953,35.24453101,부산,토종 흑염소 숯불구이,35000,2021-12-31
동래할매파전,부산광역시광역시 동래구 명륜로94번길 43-10,26,26260,129.0837638,35.20466973,부산,동래파전,22000,2021-12-31
77돌곱창,부산광역시광역시 사상구 괘감로 96-1,26,26530,128.9849238,35.15719355,부산,곱창전골,30000,2021-12-31
낙원각,부산광역시광역시 사상구 사상로 7,26,26530,128.9988192,35.15072688,부산,짜장면,5000,2021-12-31
옥미아구찜 망미본점,부산광역시광역시 수영구 망미번영로55번길 35,26,26500,129.1088122,35.17371106,부산,아구찜,30000,2021-12-31
개미집 본점,부산광역시광역시 중구 중구로30번길 22,26,26110,129.0301169,35.10052926,부산,낙곱새,11000,2021-12-31
청해진,서울특별시 강동구 강동대로 187,11,11740,127.1274211,37.52481547,서울,산낙지불고기(1인분),13000,2021-12-31
장군식당,서울특별시 노원구 석계로9길 66,11,11350,127.0610886,37.61583115,서울,숯불족발,32000,2021-12-31
성천막국수,서울특별시 동대문구 답십리로48나길 2,11,11230,127.0578139,37.56990105,서울,막국수,6500,2021-12-31
선동 보리밥,서울특별시 성북구 성북로 134-4,11,11290,126.995139,37.59468334,서울,보리밥,9000,2021-12-31
선천집,서울특별시 종로구 인사동14길 5,11,11110,126.9863118,37.57311986,서울,한식,12000,2021-12-31
명동칼국수,서울특별시 중구 을지로 12,11,11140,126.9786312,37.56562883,서울,명동칼국수,7000,2021-12-31
동신면가,서울특별시 강동구 올림픽로 803,11,11740,127.1281369,37.5528781,서울,평안냉면 (물 / 비빔),9000,2021-12-31
대호정,서울특별시 금천구 시흥대로52길 51,11,11545,126.9017543,37.45359918,서울,돼지갈비(1인),11000,2021-12-31
성천 막국수,서울특별시 동대문구 답십리로48나길 2,11,11230,127.0578139,37.56990105,서울,물 막국수,6500,2021-12-31
선동 보리밥,서울특별시 성북구 성북로 134-4,11,11290,126.995139,37.59468334,서울,보리밥,9000,2021-12-31
진미옥설렁탕,서울특별시 송파구 가락로16길 3-12 성창빌딩,11,11710,127.1092361,37.50115127,서울,설농탕,9000,2021-12-31
삼거리먼지막순대국,서울특별시 영등포구 시흥대로185길 11,11,11560,126.9072457,37.49172618,서울,순대국,5000,2021-12-31
창성옥,서울특별시 용산구 새창로 124-10,11,11170,126.9604141,37.53639737,서울,해장국,7000,2021-12-31
만석장,서울특별시 은평구 대서문길 43-10,11,11380,126.9495566,37.65584825,서울,목살쌈밥,13000,2021-12-31
만포면옥본점,서울특별시 은평구 연서로 171 동연빌딩,11,11380,126.9174579,37.61413809,서울,평양냉면,11000,2021-12-31
신안촌 본점,서울특별시 종로구 사직로12길 8,11,11110,126.970877,37.5756173,서울,낙지 연포탕,15000,2021-12-31
선천,서울특별시 종로구 인사동14길 5,11,11110,126.9863118,37.57311986,서울,한식,12000,2021-12-31
하나로회관,서울특별시 종로구 인사동5길 25,11,11110,126.9865088,37.57344568,서울,한정식,25000,2021-12-31
금강섞어찌개명동본점,서울특별시 중구 명동7가길 20-8,11,11140,126.9853245,37.564195,서울,보글보글섞어찌개,9000,2021-12-31
부산복집,서울특별시 중구 수표로2길 25,11,11140,126.9919466,37.5623035,서울,복매운탕,14000,2021-12-31
을지OB베어,서울특별시 중구 충무로9길 12,11,11140,126.9918207,37.56698663,서울,노가리 1마리당,1000,2021-12-31
언양한우불고기,울산광역시광역시 울주군 언양읍 헌양길 87-3,31,31710,129.1217837,35.56481219,울산,특미(110g),27000,2021-12-31
고궁,울산광역시광역시 중구 학성로 95-1,31,31110,129.3213142,35.5555063,울산,정식,11000,2021-12-31
부영선지국,인천광역시 미추홀구 장천로14번길 20,28,28170,126.6473205,37.45857655,인천,기본선지국,6500,2021-12-31
알미골,인천광역시 강화군 강화대로 334 알미골식당,28,28710,126.4928883,37.74284168,인천,생등심(국내산한우150g),35000,2021-12-31
더리미집,인천광역시 강화군 해안동로 1219,28,28110,126.513101,37.72313005,인천,민물장어 1kg (2인분),80000,2021-12-31
삼화정,인천광역시 남동구 남동대로922번길 14,28,28200,126.7090121,37.46459054,인천,꽃등심,39000,2021-12-31
송원산오리,인천광역시 미추홀구 미추홀대로719번길 28,28,28170,126.6785581,37.4619255,인천,오리코스요리,90000,2021-12-31
복화루,인천광역시 부평구 부평대로32번길 16,28,28237,126.7239514,37.49430456,인천,짜장면,5500,2021-12-31
함흥냉면,인천광역시 부평구 시장로20번길 21,28,28237,126.7263152,37.49257029,인천,함흥냉면,7000,2021-12-31
전동집,인천광역시 연수구 앵고개로103번길 25,28,28185,126.6581121,37.41387257,인천,제육밥상,9000,2021-12-31
돈비어천가,인천광역시 중구 개항로 53-1,28,28110,126.6285746,37.47256387,인천,왕갈비 300g,18000,2021-12-31
신동양,인천광역시 중구 서해대로449번길 52,28,28110,126.6316652,37.46715043,인천,짜장면,4000,2021-12-31
신포순대,인천광역시 중구 제물량로166번길 33,28,28110,126.6262619,37.47153169,인천,순대 (1인분),7000,2021-12-31
우성식당,전라남도 강진군 강진읍 남문길 2,46,46810,126.7692195,34.6400889,전남,목살1인분(200g,10000,2021-12-31
해태식당,전라남도 강진군 서성안길 6,46,46810,126.7671886,34.63925042,전남,해태정식(1인),30000,2021-12-31
대한식당,전라남도 광양시 매일시장길 12-15,46,46230,127.5856503,34.97612047,전남,광양 불고기 국내산(180g),23000,2021-12-31
신흥장어,전라남도 나주시 다시면 구진포로 58,46,46170,126.6725459,35.00675572,전남,장어구이(소금/양념) 1인분,25000,2021-12-31
금메달식당,전라남도 목포시 후광대로143번길 8 독도프라자 101호,46,46110,126.4476297,34.81355054,전남,흑산도홍어삼합,125000,2021-12-31
풍미통닭,전라남도 순천시 성남뒷길 3,46,46150,127.4909335,34.94625732,전남,마늘통닭,18000,2021-12-31
구백식당,전라남도 여수시 여객선터미널길 18,46,46130,127.7320495,34.73875182,전남,서대회 1인분,12000,2021-12-31
물망초식당(물망초설렁탕),전라남도 여수시 충무로 54-7,46,46130,127.7316435,34.74156046,전남,설렁탕,8000,2021-12-31
전주식당,전라남도 함평군 신기산길 22,46,46860,126.5190841,35.06590199,전남,한우 생고기 비빔밥,8000,2021-12-31
쌍용반점,전라북도 군산시 내항2길 121,45,45130,126.7102247,35.99307096,전북,해물짬뽕,8000,2021-12-31
운정식당,전라북도 군산시 중정길 8-2,45,45130,126.7142763,35.98472766,전북,녹두삼계탕,15000,2021-12-31
유락식당,전라북도 군산시 해망로 146-25 유락,45,45130,126.7206057,35.98767534,전북,반지회덮밥,14000,2021-12-31
할매추어탕,전라북도 남원시 요천로 1467,45,45190,127.3820231,35.40333731,전북,추어탕,9000,2021-12-31
신촌매운탕,전라북도 남원시 원천로 27-8,45,45190,127.3957358,35.4101497,전북,메기매운탕,30000,2021-12-31
계화회관,전라북도 부안군 행안면 변산로 95,45,45800,126.7106792,35.72906069,전북,백합죽,10000,2021-12-31
