FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE
삼거리 먼지막 순대국,서울특별시 영등포구 대림1동 963-9,11,11560,126.907221,37.491744,서울,순대국,,2021-12-31
상주식당,대구광역시 중구 동성로 2가 54-1,27,30140,128.595975,35.870387,대구,추어탕,,2021-12-31
가선식당,충청북도 영동군 양산면 가선리 139-6,43,43740,127.601058,36.124848,충북,어죽,,2021-12-31
리정식당,충청북도 청주시 상당구 내덕동 297-12,43,43111,127.486683,36.654497,충북,육개장,,2021-12-31
백번집,전라북도 전주시 완산구 다가동 1가 44-7,45,45111,127.141947,35.815363,전북,한정식,,2021-12-31
오장동 함흥냉면,서울특별시 중구 오장동 90-10,11,11140,126.999908,37.564288,서울,냉면,,2021-12-31
완도횟집,전라남도 강진군 마량면 마량리 미항로 169,46,46810,126.820477,34.449132,전남,생선회,,2021-12-31
태조 감자국,서울특별시 성북구 동소문동 5가 73-2,11,11290,127.015954,37.592148,서울,감자국,,2021-12-31
구포집,부산광역시 중구 부평동 3가 36-8,26,26110,129.024641,35.101228,부산,회비빔밥,,2021-12-31
새집 추어탕,전라북도 남원시 천거동 160-206,45,45190,127.375319,35.400295,전북,추어숙회,,2021-12-31
전주 중앙회관,서울특별시 중구 충무로1가 24-11,11,11140,126.983764,37.561177,서울,곱돌비빕밥,,2021-12-31
고려삼계탕,서울특별시 중구 서소문동 55-3,11,11140,126.972907,37.563002,서울,삼계탕,,2021-12-31
두암식당,전라남도 무안군 몽탄면 사창리 697-2,46,46840,126.518854,34.96539,전남,짚불구이,,2021-12-31
함흥 곰보냉면,서울특별시 종로구 인의동 112-14 세운스퀘어 401호,11,11110,126.997025,37.571598,서울,냉면,,2021-12-31
명월집,인천광역시 중구 중앙동3가 46,28,28110,126.622783,37.471858,인천,백반,,2021-12-31
역전회관,서울특별시 마포구 염리동 173-21,11,11440,126.946997,37.542942,서울,바싹불고기,,2021-12-31
진주회관,서울특별시 중구 서소문동 120-35,11,11140,126.974488,37.562385,서울,콩국수,,2021-12-31
편대장 영화식당,경상북도 영천시 금노동 582-15,47,47230,128.928169,35.960428,경북,육회,,2021-12-31
덕인관,전라남도 담양군 담양읍 담주리 85-2,46,46710,126.981714,35.321165,전남,떡갈비,,2021-12-31
진짜초가집 원조아구찜,경상남도 마산시 오동동 151-5,48,48125,128.578247,35.206689,경남,아구찜,,2021-12-31
버들식당,대구광역시 달서구 성당1동 118-1,27,27290,128.566814,35.847977,대구,곱창 전골,,2021-12-31
청화집,충청남도 천안시 동남구 병천면 병천리 167-6,44,44130,127.299264,36.762342,충남,순대,,2021-12-31
안동회관,경상북도 안동시 태사길 71(옥정동) 1층 안동회관,47,47170,128.7351029,36.5665807,경남,불고기,24000,2021-12-31
동원손칼국수,대전광역시 서구 청사서로54번길 11,30,30170,127.3773454,36.3627336,대전,칼국수,7000,2021-12-31
전주우족설렁탕,전라북도 군산시 대학로 88(금광동) 전라북도 군산시 개정면 금강로 470-1,45,45130,126.7714677,35.9833458,전북,우족탕,14000,2021-12-31
명동닭한마리 본점,서울특별시 종로구 종로40가길 14(종로5가),11,11110,127.0058656,37.5703116,서울,닭한만리,25000,2021-12-31
은혜반찬2,대전광역시 대덕구 중리로64번길 16(중리동),30,30230,127.4260669,36.3647169,대전,반찬전문점,10000,2021-12-31
진미집,전라북도 전주시 완산구 전주천동로 94,45,45111,127.1504296,35.8111707,전북,소바,10000,2021-12-31
금일옥,전라북도 전주시 완산구 전주객사3길 11-6,45,45111,127.1420399,35.8177582,전북,생선탕,12000,2021-12-31
